ANTCEN,1.92572648,
BEANTR,2.09942163,
BENZEN,4.36215239,
BIGJUX,1.40058405,
BIPHEN,3.23133328,
BNPERY,1.74328721,
BNPYRE10,1.66910054,
CENYAV,2.28672254,
CENYEZ,2.43902701,
CORANN12,2.71270525,
CORONE01,2.26483882,
CRYSEN01,2.44786802,
DBNTHR02,2.34431238,
DBPERY,1.53477291,
DBZCOR,1.81346891,
DNAPAN,1.84665618,
DPANTR01,1.94292597,
FACPEE,2.60530671,
FLUANT02,2.59599911,
FOVVOB,3.17059339,
HPHBNZ03,3.48524079,
JULSOY,1.26344494,
KAFVUI,2.01446195,
KAGFOP,1.07522489,
KAGFUV,1.30072535,
KAGGAC,1.27233088,
KAQLEV,1.97904118,
KEGHEJ01,0.919717,
KUBWAF01,1.96358516,
KUZXUA,2.01119537,
LIMCUF,1.98911376,
NAPANT01,1.02108517,
OBOHUL,0.81512687,
OVALEN01,1.57956611,
PENCEN,0.898,
PERLEN05,1.63415664,
PERLEN07,1.236,
PEZPUG,2.0133555,
PHNAPH,0.80645588,
POBPIG,1.38826465,
POBPIG06,1.38826465,
PUJQIV,1.67868353,
PUNVEA,3.27560402,
PUNVIE,3.19676503,
PYRCEN,2.75315362,
PYRPYR10,1.80212502,
QQQCIG04,1.16035309,
QUATER10,0.78414832,
QUPHEN,2.5273672,
RAKGOA,2.27697863,
SANQII,2.17429648,
SETTES,1.97464931,
SURTAA,1.66240029,
TBZPYR,1.92853015,
TEBNAP,2.33151868,
TERPHE02,2.647,
TERPHO02,3.34035487,
TETCEN01,1.365,
TRIPHE12,2.966,
VEBJAO,1.024,
VEBJES,1.005453,
VEBJIW,0.82771205,
VEBKAP,0.72148073,
VEHCAM,2.105105,
VUFHUA,2.14381283,
YITJAN,2.25050089,
YOFCUR,1.38812179,
ZZZNKU01,2.1779926,
ZZZNTQ01,2.06697342,
ZZZOYC01,2.26210679,
